"","year_of_analyst_forecast","month_of_analyst_forecast","permno","cusip","oftic","monthly_returns","price","shares_outstanding","volume","benchmark_returns","excess_returns","actual_annual_eps","number_of_analyst_predictions","forecast_end_period","analys","f_eps","forecast_standard_deviation","market_capitalization","exchange","t","t_minus_one","t_plus_one","average_forecasted_earnings","scaled_feps","quartile_feps","quartile_market_capitalization"
"8716",2011,7,50017,"75281A10","RRC",0.174054116010666,65.1600036621094,161059,592123,-0.02147444,0.195528556010666,0.92,55,2012-12-31,110438,0.75,0.457027788023318,10494605.0298157,1,NA,NA,"true",1.58444642857143,0.00701393128203706,1,2
"8717",2011,8,50017,"75281A10","RRC",-0.00613875826820731,64.7600021362305,161059,705940,-0.0567911,0.0506523417317927,0.92,12,2012-12-31,527732,1.86,0.361197434869798,10430181.1840591,1,NA,NA,"true",1.51333333333333,0.005577477192017,1,2
"8718",2011,9,50017,"75281A10","RRC",-0.0966646522283554,58.4599990844727,161059,894131,-0.07176201,-0.0249026422283554,0.92,12,2012-12-31,558408,1.65,0.319999173279355,9415508.99254609,1,NA,NA,"true",1.47833333333333,0.00547381420271608,1,2
"8719",2011,10,50017,"75281A10","RRC",0.17755725979805,68.8399963378906,161256,664299,0.107723,0.06983425979805,0.92,73,2012-12-31,585787,0.85,0.329906812190901,11100862.4494629,1,NA,NA,"true",1.38263513513514,0.00479237114673283,1,2
"8720",2011,11,50017,"75281A10","RRC",0.0416909195482731,71.7099990844727,161256,412185,-0.005058645,0.0467495645482731,0.92,10,2012-12-31,565677,1.95,0.380574256493897,11563667.6123657,1,NA,NA,"true",1.557,0.00530712956843842,1,2
"8721",2011,12,50017,"75281A10","RRC",-0.135685414075851,61.939998626709,161256,394903,0.008532751,-0.144218165075851,0.92,16,2012-12-31,585787,0.9,0.59395508557311,9988196.41854859,1,NA,NA,"true",1.284375,0.0095892008192101,1,2
"8722",2012,6,50017,"75281A10","RRC",0.0778203383088112,61.8699989318848,162184,602607,0.03955492,0.0382654183088112,1.45,15,2013-12-31,77712,1.74,0.577967703826664,10034323.9067688,1,NA,NA,"true",1.52533333333333,0.00934164722490091,1,2
"8723",2012,7,50017,"75281A10","RRC",0.0117989256978035,62.5999984741211,162485,406503,0.01259764,-0.000798714302196499,1.45,65,2013-12-31,565677,1.17,0.438862372064709,10171560.7520676,1,NA,NA,"true",1.20450151515152,0.00701058119428126,1,2
"8724",2012,8,50017,"75281A10","RRC",0.0413738675415516,65.1900024414062,162485,358284,0.01976336,0.0216105075415516,1.45,18,2013-12-31,131511,1.47,0.399858820896628,10592397.5466919,1,NA,NA,"true",1.06555555555556,0.00613374453016821,1,2
"8725",2012,9,50017,"75281A10","RRC",0.0724037438631058,69.870002746582,162485,300214,0.02423609,0.0481676538631058,1.45,13,2013-12-31,77712,1.37,0.227815317396745,11352827.3962784,1,NA,NA,"true",1.08615384615385,0.00326055973152069,1,2
"8726",2012,10,50017,"75281A10","RRC",-0.0645484775304794,65.3600006103516,162629,337533,-0.0197894,-0.0447590775304794,1.45,61,2013-12-31,52826,1.41,0.319808809874352,10629431.5392609,1,NA,NA,"true",1.09128852459016,0.00489303560109975,1,2
"8727",2012,11,50017,"75281A10","RRC",-0.020501896739006,64.0199966430664,162629,307212,0.002846703,-0.023348599739006,1.45,13,2013-12-31,79582,1.19,0.311415231869471,10411508.0340652,1,NA,NA,"true",1.19714285714286,0.00486434314587235,1,2
"8728",2012,12,50017,"75281A10","RRC",-0.0179630555212498,62.8300018310547,162629,298902,0.00706831,-0.0250313655212498,1.45,18,2013-12-31,79582,1.49,0.342408475899497,10217980.3677826,1,NA,NA,"true",1.10583333333333,0.00544976071813921,1,2
"8729",2013,6,50017,"75281A10","RRC",0.0289970654994249,77.3199996948242,163073,320550,-0.01499933,0.0439963954994249,1.58,11,2014-12-31,18979,2.28,0.462705711185197,12608804.3102341,1,NA,NA,"true",2.20236363636364,0.00598429530537324,1,3
"8730",2013,7,50017,"75281A10","RRC",0.0230211950838566,79.0999984741211,163396,381454,0.04946211,-0.0264409149161434,1.58,63,2014-12-31,140129,2.21,0.482393220261488,12924623.3506775,1,NA,NA,"true",2.013828125,0.0060985237619102,1,3
"8731",2013,8,50017,"75281A10","RRC",-0.0520859062671661,74.9800033569336,163396,234103,-0.03129801,-0.0207878962671661,1.58,12,2014-12-31,73213,2.13,0.430572100040555,12251432.6285095,1,NA,NA,"true",2.06666666666667,0.00574249240815403,1,3
"8732",2013,9,50017,"75281A10","RRC",0.0126699917018413,75.8899993896484,163396,261279,0.02974948,-0.0170794882981587,1.58,11,2014-12-31,52314,2.05,0.431456558537197,12400122.340271,1,NA,NA,"true",2.03454545454545,0.00568528873378867,1,3
"8733",2013,10,50017,"75281A10","RRC",-0.00237185810692608,75.7099990844727,163422,457723,0.04459576,-0.0469676181069261,1.58,56,2014-12-31,153433,2.01,0.390903839030779,12372679.4703827,1,NA,NA,"true",1.764875,0.00516317321037914,1,3
"8734",2013,11,50017,"75281A10","RRC",0.0256241243332624,77.6500015258789,163422,308577,0.02804946,-0.0024253356667376,1.58,17,2014-12-31,109408,2.08,0.400526634502921,12689718.5493622,1,NA,NA,"true",1.79282352941176,0.00515810208154903,1,3
"8735",2013,12,50017,"75281A10","RRC",0.0862845554947853,84.3099975585938,163422,322959,0.02356283,0.0627217254947853,1.58,19,2014-12-31,120080,1.83,0.369133885347773,13778108.4210205,1,NA,NA,"true",1.96268421052632,0.00437829315664767,1,3
"8736",2014,6,50017,"75281A10","RRC",-0.0641204938292503,86.9499969482422,168657,315599,0.01905831,-0.0831788038292503,0.48,19,2015-12-31,523492,1.68,0.564704853377914,14664725.6352997,1,NA,NA,"true",2.59763157894737,0.00649459313626037,2,3
"8737",2014,7,50017,"75281A10","RRC",-0.13064980506897,75.5899963378906,168698,547432,-0.01507986,-0.11556994506897,0.48,64,2015-12-31,585787,2.44,0.497270296814199,12751881.2022095,1,NA,NA,"true",2.44736923076923,0.00657851992201956,2,3
"8738",2014,8,50017,"75281A10","RRC",0.0396877899765968,78.5899963378906,168698,309616,0.03765532,0.0020324699765968,0.48,14,2015-12-31,9636,2.58,0.427103416097703,13257975.2022095,1,NA,NA,"true",2.33142857142857,0.00543457737625296,2,3
"8739",2014,9,50017,"75281A10","RRC",-0.13665859401226,67.8099975585938,168698,424061,-0.01551386,-0.12114473401226,0.48,15,2015-12-31,702,1.75,0.376938106567028,11439410.9681397,1,NA,NA,"true",2.00866666666667,0.00555873942100234,2,3
"8740",2014,10,50017,"75281A10","RRC",0.00870084017515182,68.4000015258789,168701,554668,0.02320146,-0.0145006198248482,0.48,55,2015-12-31,537668,1.85,0.349892708564004,11539148.6574173,1,NA,NA,"true",1.77469090909091,0.00511539036196693,2,3
"8741",2014,11,50017,"75281A10","RRC",-0.0402046777307987,65.6500015258789,168701,429920,0.02453358,-0.0647382577307987,0.48,24,2015-12-31,120080,1.65,0.446509404708241,11075220.9074173,1,NA,NA,"true",1.65,0.00680136168058167,2,3
"8742",2014,12,50017,"75281A10","RRC",-0.185224682092667,53.4500007629395,168701,815386,-0.004188512,-0.181036170092667,0.48,36,2015-12-31,114951,1.5,0.44907710786696,9017068.57870866,1,NA,NA,"true",1.23375675675676,0.00840181667833269,2,3
"8743",2015,6,50017,"75281A10","RRC",-0.108103208243847,49.3800010681152,169072,716935,-0.02101177,-0.087091438243847,0.03,16,2016-12-31,122739,0.31,0.355608480492029,8348775.54058837,1,NA,NA,"true",0.3381875,0.00720146765492166,2,2
"8744",2015,7,50017,"75281A10","RRC",-0.203321203589439,39.3400001525879,169362,1109871,0.01974204,-0.223063243589439,0.03,66,2016-12-31,553118,0.732,0.397873924518874,6662701.10584259,1,NA,NA,"true",0.113681818181818,0.0101137245291216,2,2
"8745",2015,8,50017,"75281A10","RRC",-0.0183020140975714,38.6199989318848,169362,959371,-0.0625808,0.0442787859024286,0.03,20,2016-12-31,602548,-0.1,0.490225480842605,6540760.25910187,1,NA,NA,"true",-0.208,0.0126935653651164,2,2
"8746",2015,9,50017,"75281A10","RRC",-0.167270854115486,32.1199989318848,169362,844497,-0.02644282,-0.140828034115486,0.03,24,2016-12-31,565677,-0.85,0.425334612710459,5439907.25910187,1,NA,NA,"true",-0.385041666666667,0.0132420494039381,2,2
"8747",2015,10,50017,"75281A10","RRC",-0.0523038133978844,30.4400005340576,169370,1013281,0.08298308,-0.135286893397884,0.03,55,2016-12-31,702,-0.87,0.401394043787958,5155622.89045334,1,NA,NA,"true",-0.361290909090909,0.0131864006815263,2,2
"8748",2015,11,50017,"75281A10","RRC",-0.0611038282513618,28.5799999237061,169370,1003275,0.000504963,-0.0616087912513618,0.03,38,2016-12-31,122739,-0.1,0.438699511526421,4840594.5870781,1,NA,NA,"true",-0.222692307692308,0.015349877981019,2,2
"8749",2015,12,50017,"75281A10","RRC",-0.137508720159531,24.6100006103516,169370,1441608,-0.0175302,-0.119978520159531,0.03,23,2016-12-31,120080,-0.33,0.46590661909696,4168195.80337525,1,NA,NA,"true",-0.497652173913044,0.0189315972182865,2,2
"8750",2016,6,50017,"75281A10","RRC",0.0133834052830935,43.1399993896484,169748,787107,0.0009060735,0.0124773317830935,0.58,12,2017-12-31,18696,-0.03,0.684751091982345,7322928.61639404,1,NA,NA,"true",-0.304166666666667,0.0158727654536466,3,2
"8751",2016,7,50017,"75281A10","RRC",-0.0656003281474113,40.310001373291,170090,639064,0.03560981,-0.101210138147411,0.58,56,2017-12-31,122151,1.03,0.458138098042433,6856328.13358307,1,NA,NA,"true",0.160877192982456,0.0113653704399522,3,2
"8752",2016,8,50017,"75281A10","RRC",-0.0431655086576939,38.5699996948242,170090,617203,-0.001219176,-0.0419463326576939,0.58,13,2017-12-31,610531,-3.83,1.0040755618927,6560371.24809265,1,NA,NA,"true",-0.07,0.0260325530162616,3,2
"8753",2016,9,50017,"75281A10","RRC",0.00518538523465395,38.75,247353,1038591,-0.001234483,0.00641986823465395,0.58,20,2017-12-31,600203,0.67,0.932286931387487,9584928.75,1,NA,NA,"true",0.201571428571429,0.0240590175841932,3,2
"8754",2016,10,50017,"75281A10","RRC",-0.127999976277351,33.7900009155273,247145,955322,-0.01942562,-0.108574356277351,0.58,66,2017-12-31,122739,0.58,0.504755439437325,8351029.776268,1,NA,NA,"true",0.337439393939394,0.014938012008321,3,2
"8755",2016,11,50017,"75281A10","RRC",0.041136410087347,35.1800003051758,247145,922515,0.03417445,0.006961960087347,0.58,11,2017-12-31,549247,0.47,0.341169683950308,8694561.17542267,1,NA,NA,"true",0.437272727272727,0.00969783061372271,3,2
"8756",2016,12,50017,"75281A10","RRC",-0.0227401852607727,34.3600006103516,247145,930676,0.01820075,-0.0409409352607727,0.58,13,2017-12-31,122739,0.79,0.447617067325453,8491902.35084535,1,NA,NA,"true",0.574615384615385,0.0130272718094947,3,2
"8757",2017,6,50017,"75281A10","RRC",0.00563749391585589,23.1700000762939,247590,1345829,0.004813832,0.00082366191585589,1.13,14,2018-12-31,537842,0.67,1.1944847594071,5736660.31888961,1,NA,NA,"true",0.541071428571429,0.0515530753333585,4,2
"8758",2017,7,50017,"75281A10","RRC",-0.0889080464839935,21.1100006103516,248132,1042630,0.01934877,-0.108256816483994,1.13,29,2018-12-31,109408,0.97,0.277021788020819,5238066.67144776,1,NA,NA,"true",0.837034482758621,0.0131227749886931,4,2
"8759",2017,8,50017,"75281A10","RRC",-0.177640929818153,17.3600006103516,248132,1884251,0.0005464923,-0.178187422118153,1.13,36,2018-12-31,136490,1.15,0.287298935642046,4307571.67144776,1,NA,NA,"true",0.695432432432432,0.01654947727771,4,2
"8760",2017,9,50017,"75281A10","RRC",0.12845616042614,19.5699996948242,248132,1502270,0.0193029,0.10915326042614,1.13,8,2018-12-31,9636,0.56,0.26697752714414,4855943.16427612,1,NA,NA,"true",0.486,0.0136421835108536,4,2
"8761",2017,10,50017,"75281A10","RRC",-0.0746039375662804,18.1100006103516,248139,1284446,0.02218818,-0.0967921175662804,1.13,60,2018-12-31,524113,0.543,0.228974056705269,4493797.44145204,1,NA,NA,"true",0.67265,0.0126435145769343,4,2
"8762",2017,11,50017,"75281A10","RRC",-0.00496963830664754,18.0200004577637,248139,1383277,0.0280826,-0.0330522383066475,1.13,11,2018-12-31,520445,0.71,0.217054140711482,4471464.89358903,1,NA,NA,"true",0.715909090909091,0.0120451795337201,4,2
"8763",2017,12,50017,"75281A10","RRC",-0.0521643161773682,17.0599994659424,248139,1403460,0.009831619,-0.0619959351773682,1.13,15,2018-12-31,619219,0.65,0.974766375691882,4233251.20747948,1,NA,NA,"true",0.938,0.0571375384646318,4,2
"8764",2009,6,89409,"75876610","RGC",0.0556426122784615,13.289999961853,130137,236819,0.0001958352,0.0554467770784615,0.5,3,2010-12-31,624979,0.68,0.250266524595946,1729520.72503566,1,NA,NA,"true",0.923333333333333,0.0188311907685703,2,1
"8765",2009,7,89409,"75876610","RGC",-0.0639578923583031,12.4399995803833,130137,296757,0.07414176,-0.138099652358303,0.5,28,2010-12-31,108897,1.25,0.129571099982747,1618904.22539234,1,NA,NA,"true",0.916206896551724,0.0104156836296898,2,1
"8766",2009,8,89409,"75876610","RGC",0.0168810319155455,12.6499996185303,130292,191922,0.03356017,-0.0166791380844545,0.5,4,2010-12-31,10370,1.02,0.0984462628374824,1648193.75029755,1,NA,NA,"true",0.9075,0.00778231350246634,2,1
"8767",2009,9,89409,"75876610","RGC",-0.0118577014654875,12.3199996948242,130292,198794,0.03572338,-0.0475810814654875,0.5,3,2010-12-31,108897,1.05,0.0830983353222755,1605197.40023803,1,NA,NA,"true",0.964666666666667,0.00674499491726337,2,1
"8768",2009,10,89409,"75876610","RGC",0.0235389582812786,12.6099996566772,130292,363402,-0.01976199,0.0433009482812786,0.5,19,2010-12-31,78488,0.55,0.11042183867397,1642982.07526779,1,NA,NA,"true",0.814736842105263,0.00875668847583991,2,1
"8769",2009,11,89409,"75876610","RGC",0.086439348757267,13.6999998092651,130291,304488,0.057364,0.029075348757267,0.5,10,2010-12-31,132128,0.73,0.0790288273704954,1784986.67514896,1,NA,NA,"true",0.807,0.00576852762560255,2,1
"8770",2009,12,89409,"75876610","RGC",0.0671532675623894,14.4399995803833,130291,204572,0.0177706,0.0493826675623894,0.5,6,2010-12-31,54478,0.82,0.0301662062579967,1881401.98532772,1,NA,NA,"true",0.845,0.00208907251624698,2,1
"8771",2010,6,89409,"75876610","RGC",-0.132545918226242,13.039999961853,130567,427400,-0.05388238,-0.078663538226242,0.33,12,2011-12-31,82010,0.92,0.173126138985423,1702593.67501926,1,NA,NA,"true",0.867833333333333,0.0132765444395616,3,1
"8772",2010,7,89409,"75876610","RGC",0.0237730387598276,13.3500003814697,130567,340555,0.06877783,-0.0450047912401724,0.33,24,2011-12-31,32416,0.83,0.17881119971427,1743069.49980735,1,NA,NA,"true",0.844166666666667,0.0133940969741444,3,1
"8773",2010,8,89409,"75876610","RGC",-0.077902615070343,12.3100004196167,130571,293080,-0.04744916,-0.030453455070343,0.33,5,2011-12-31,624979,0.52,0.160653471418416,1607329.06478977,1,NA,NA,"true",0.7328,0.013050647111466,3,1
"8774",2010,9,89409,"75876610","RGC",0.0804223716259003,13.1199998855591,130571,314271,0.0875511,-0.00712872837409971,0.33,6,2011-12-31,566239,0.75,0.177149530182713,1713091.50505734,1,NA,NA,"true",0.7045,0.0135022508938966,3,1
"8775",2010,10,89409,"75876610","RGC",0.0289634242653847,13.5,130571,278388,0.03685594,-0.0078925157346153,0.33,25,2011-12-31,77748,0.79,0.157386823606355,1762708.5,1,NA,NA,"true",0.71408,0.0116582832301004,3,1
